              n         method            avg            max            min            std
              4              S       0.000006       0.000011       0.000005       0.000001
              4              C       0.000118       0.000333       0.000095       0.000050
              8              S       0.000026       0.000033       0.000026       0.000002
              8              C       0.000594       0.003592       0.000274       0.000777
             16              S       0.000132       0.000139       0.000132       0.000002
             16              C       0.000810       0.003357       0.000468       0.000706
             32              S       0.000983       0.001094       0.000925       0.000058
             32              C       0.001277       0.001958       0.001026       0.000296
             64              S       0.007128       0.008474       0.006976       0.000389
             64              C       0.003552       0.005303       0.003102       0.000583
            128              S       0.056189       0.056365       0.055414       0.000225
            128              C       0.018205       0.023406       0.016942       0.001446
            256              S       0.551181       0.553000       0.550081       0.000664
            256              C       0.135822       0.143458       0.131884       0.002708
            512              S       4.454245       4.547594       4.373811       0.042862
            512              C       1.078562       1.086992       1.071402       0.003519
           1024              S      46.672842      46.735583      46.045035       0.144871
           1024              C      11.491195      11.550294      11.376554       0.043036
           2048              S     454.979828     472.149804     430.829361      17.532137
           2048              C      97.900479      98.708687      90.976927       1.612203
