N,Método,Média,Máximo,Mínimo,DP,CV,Speedup
4,S,0.000008,0.000016,0.000005,0.000003,0.375000,0.027875
4,C,0.000287,0.000833,0.000194,0.000133,0.463415,
8,S,0.000054,0.000079,0.000043,0.000008,0.148148,0.216867
8,C,0.000249,0.000625,0.000194,0.000125,0.502008,
16,S,0.000120,0.000137,0.000117,0.000004,0.033333,0.240000
16,C,0.000500,0.000843,0.000389,0.000104,0.208000,
32,S,0.000903,0.001162,0.000769,0.000094,0.104097,0.854305
32,C,0.001057,0.001648,0.000954,0.000147,0.139073,
64,S,0.006264,0.006672,0.006111,0.000125,0.019955,2.009625
64,C,0.003117,0.003290,0.003019,0.000082,0.026307,
128,S,0.049366,0.049833,0.048991,0.000257,0.005206,2.885888
128,C,0.017106,0.018387,0.016615,0.000446,0.026073,
256,S,0.396049,0.397305,0.395596,0.000353,0.000891,3.434467
256,C,0.115316,0.115837,0.114896,0.000292,0.002532,
512,S,3.196061,3.198976,3.194106,0.001205,0.000377,2.504654
512,C,1.276049,2.730096,0.910267,0.627095,0.491435,
1024,S,34.923985,36.488973,32.289589,1.427043,0.040861,2.728009
1024,C,12.802005,14.464771,11.943556,0.646350,0.050488,
2048,S,296.697102,300.335151,293.205428,1.891705,0.006376,2.481272
2048,C,119.574585,122.081859,114.975627,1.350716,0.011296,
