N,Método,Média,Máximo,Mínimo,DP,CV,Speedup
4,S,0.000005,0.000009,0.000004,0.000001,0.200000,0.042735
4,C,0.000117,0.000161,0.000109,0.000011,0.094017,
8,S,0.000024,0.000027,0.000024,0.000001,0.041667,0.102128
8,C,0.000235,0.000242,0.000226,0.000004,0.017021,
16,S,0.000164,0.000174,0.000162,0.000003,0.018293,0.399027
16,C,0.000411,0.000525,0.000382,0.000029,0.070560,
32,S,0.001229,0.001235,0.001226,0.000002,0.001627,1.559645
32,C,0.000788,0.001013,0.000744,0.000061,0.077411,
64,S,0.009571,0.009595,0.009567,0.000006,0.000627,4.265152
64,C,0.002244,0.002329,0.002161,0.000043,0.019162,
128,S,0.076518,0.076688,0.076500,0.000039,0.000510,6.127813
128,C,0.012487,0.012819,0.011967,0.000231,0.018499,
256,S,0.673155,0.678866,0.671919,0.001481,0.002200,7.237992
256,C,0.093003,0.093850,0.092211,0.000514,0.005527,
512,S,5.772443,5.777861,5.771487,0.001370,0.000237,7.279165
512,C,0.793009,0.795584,0.790797,0.001007,0.001270,
1024,S,47.413569,48.435395,47.253737,0.358455,0.007560,7.759770
1024,C,6.110177,6.112712,6.107936,0.001264,0.000207,
2048,S,391.215217,403.267080,360.740296,12.573166,0.032139,8.054946
2048,C,48.568324,48.810796,48.378530,0.150906,0.003107,
