              n         method            avg            max            min            std
              4              S       0.000005       0.000008       0.000004       0.000001
              4              C       0.000175       0.000234       0.000162       0.000016
              8              S       0.000024       0.000025       0.000024       0.000000
              8              C       0.000311       0.000360       0.000288       0.000016
             16              S       0.000163       0.000168       0.000162       0.000001
             16              C       0.000483       0.000608       0.000457       0.000031
             32              S       0.001230       0.001243       0.001227       0.000005
             32              C       0.000938       0.001108       0.000865       0.000053
             64              S       0.009583       0.009607       0.009571       0.000010
             64              C       0.001726       0.001876       0.001648       0.000054
            128              S       0.076552       0.076675       0.076529       0.000034
            128              C       0.005062       0.006796       0.004723       0.000522
            256              S       0.685422       0.686930       0.683267       0.000614
            256              C       0.027647       0.029813       0.026737       0.000799
            512              S       5.903518       5.909067       5.899434       0.002528
            512              C       0.206689       0.209522       0.205218       0.001051
           1024              S      47.154142      47.171453      47.147077       0.005607
           1024              C       1.575758       1.578781       1.572586       0.001617
           2048              S     364.372344     367.683477     364.016641       0.817910
           2048              C      12.014316      12.034610      12.009186       0.005228
