              n         method            avg            max            min            std
              4              S       0.000008       0.000016       0.000005       0.000003
              4              C       0.000287       0.000833       0.000194       0.000133
              8              S       0.000054       0.000079       0.000043       0.000008
              8              C       0.000249       0.000625       0.000194       0.000125
             16              S       0.000120       0.000137       0.000117       0.000004
             16              C       0.000500       0.000843       0.000389       0.000104
             32              S       0.000903       0.001162       0.000769       0.000094
             32              C       0.001057       0.001648       0.000954       0.000147
             64              S       0.006264       0.006672       0.006111       0.000125
             64              C       0.003117       0.003290       0.003019       0.000082
            128              S       0.049366       0.049833       0.048991       0.000257
            128              C       0.017106       0.018387       0.016615       0.000446
            256              S       0.396049       0.397305       0.395596       0.000353
            256              C       0.115316       0.115837       0.114896       0.000292
            512              S       3.196061       3.198976       3.194106       0.001205
            512              C       1.276049       2.730096       0.910267       0.627095
           1024              S      34.923985      36.488973      32.289589       1.427043
           1024              C      12.802005      14.464771      11.943556       0.646350
           2048              S     296.697102     300.335151     293.205428       1.891705
           2048              C     119.574585     122.081859     114.975627       1.350716
